pid,correct_value_2,question_id_2,user_value_2,correct_value_3,question_id_3,user_value_3,correct_value_4,question_id_4,user_value_4,correct_value_5,question_id_5,user_value_5,correct_value_6,question_id_6,user_value_6,correct_value_7,question_id_7,user_value_7,correct_value_8,question_id_8,user_value_8,correct_value_9,question_id_9,user_value_9,correct_value_10,question_id_10,user_value_10,correct_value_11,question_id_11,user_value_11,correct_value_12,question_id_12,user_value_12,correct_value_13,question_id_13,user_value_13,correct_value_14,question_id_14,user_value_14,correct_value_15,question_id_15,user_value_15,correct_value_16,question_id_16,user_value_16
gjwltvc9cqf,45.45454545454546,circle_9,44,46.153846153846146,circle_4,5,254.54545454545453,rect_6,5,128.57142857142856,circle_1,5,115.55555555555554,rect_2,5,128.57142857142856,circle_8,5,46.428571428571416,rect_7,5,75,parab_2,5,418.75,rect_5,5,41.99999999999999,rect_0,5,80,rect_3,5,25,circle_0,5,46.66666666666666,circle_3,5,400,rect_8,5,9.523809523809534,rect_4,5
7htfukb8qjw,,parab_3,300,125,parab_4,120,108.33333333333334,circle_4,14,28.57142857142858,parab_2,13,750,rect_8,900,725,circle_1,15,620,circle_9,30,9.756097560975618,rect_0,22,70.45454545454545,rect_4,120,29.166666666666675,rect_1,50,233.33333333333334,rect_3,700,900,rect_2,800,133.33333333333334,rect_5,250,269.2307692307692,rect_6,500,262.5,rect_7,80
ro7bk42y38a,25,rect_0,10,141.66666666666666,parab_0,25,28.57142857142858,parab_7,0,86.8421052631579,rect_1,100,115.38461538461537,rect_6,150,100,rect_2,300,300,circle_5,50,150,circle_0,40,266.66666666666663,circle_4,250,300,circle_2,600,540,rect_4,600,1266.6666666666665,rect_9,900,1900,circle_3,5,2100,rect_7,1100,33.33333333333333,rect_5,10
x79goe6t82p,46.428571428571416,rect_5,30,81.08108108108108,rect_8,100,120.00000000000001,parab_4,100,,rect_0,-100,50,circle_1,50,,parab_3,300,133.33333333333334,parab_0,900,161.9047619047619,rect_4,200,117.24137931034484,circle_0,150,152,circle_5,800,158.33333333333334,rect_3,100,163.63636363636363,circle_4,25,34.48275862068966,rect_7,50,3.3333333333333437,rect_9,-25,22.72727272727273,rect_1,15
h42s8aj2i06,33.33333333333333,parab_5,14,,circle_6,10,133.33333333333334,rect_2,75,150,rect_4,150,480,rect_7,900,27.27272727272727,rect_1,400,85.00000000000001,circle_3,120,73.33333333333334,circle_1,50,143.33333333333331,rect_6,100,125,rect_3,40,,parab_0,40,375,rect_0,200,412.5,circle_0,100,1600,parab_3,600,2500,circle_2,50
4jdmpz1rz0c,141.66666666666666,circle_7,400,42.85714285714286,parab_2,20,19.999999999999996,circle_6,30,320,rect_3,200,400,parab_7,300,100,circle_5,900,21.42857142857142,parab_6,40,71.42857142857142,parab_1,80,163.15789473684214,circle_0,500,83.33333333333333,parab_3,40,66.66666666666667,circle_3,60,111.11111111111111,circle_1,40,,parab_0,900,123.80952380952381,rect_2,30,300,rect_1,300
2q4tkjthu1r,866.6666666666666,parab_8,400,0,parab_1,20,,parab_3,0,120.00000000000001,rect_5,60,213.33333333333334,rect_7,250,275,parab_4,500,100,parab_2,100,200,circle_5,30,66.66666666666667,circle_2,500,,circle_3,450,,parab_5,200,179.99999999999997,rect_0,150,1220,rect_2,2100,1900,circle_0,25,0,parab_0,34
vhfqz8yqbsi,145.45454545454547,circle_6,50,181.81818181818184,circle_7,300,50,rect_2,240,375,rect_5,900,290,circle_0,550,1600,rect_4,300,8.108108108108114,rect_7,23,32.00000000000001,circle_2,120,25,parab_2,45,30.000000000000004,circle_1,30,129.99999999999997,circle_4,80,16.666666666666675,rect_1,100,,parab_3,100,23.076923076923084,rect_0,70,90.90909090909092,parab_0,75
zi6ri9elzp,283.33333333333337,parab_3,100,2000,rect_9,400,320,circle_5,15,150,circle_8,100,120.00000000000001,parab_0,130,36.36363636363635,rect_0,60,30.76923076923077,circle_6,2400,116.66666666666666,circle_2,400,47.169811320754704,rect_5,35,54.90196078431373,circle_4,500,42.59259259259258,circle_1,340,69.38775510204083,circle_0,220,133.33333333333334,rect_1,560,14.999999999999991,rect_2,33,19.999999999999996,parab_2,100
lmniama38mq,50,parab_0,110,222.22222222222223,rect_1,300,660,circle_3,240,1100,parab_5,800,257.14285714285717,rect_8,600,50,parab_7,400,,circle_2,760,222.22222222222223,rect_0,330,150,circle_4,330,133.33333333333334,parab_4,500,340.00000000000006,rect_4,700,137.5,rect_2,160,7.692307692307687,parab_2,67,12.00000000000001,rect_3,12,23.25581395348837,circle_1,23
